Ending	Count	Population
háza	66	279743
fa	61	22424
falu	44	62830
vár	38	318942
falva	32	44626
hely	23	174263
lak	20	13433
kút	18	24109
szeg	17	94385
túr	17	34042
apáti	16	21149
márton	16	26618
tó	16	42928
györgy	15	19060
telek	15	46719
szőlős	14	14226
szállás	14	42753
halom	13	50893
miklós	13	81875
berény	12	46755
bánya	11	80299
fő	11	8740
lád	10	9538
liget	9	11062
tő	9	18594
alja	8	6060
ház	8	37995
hida	8	13210
iván	8	11501
kér	8	8041
keszi	8	67438
örs	8	38790
lászló	8	10601
völgy	8	3260
jenő	7	13813
földe	7	3271
sziget	7	5739
ladány	6	28442
föld	6	3966
hegyes	6	20065
szent	6	8761
szántó	6	10803
andrás	6	7455
király	6	4534
almás	5	18193
huta	5	1057
csehi	5	3202
falud	5	2693
gyarmat	5	29861
vég	5	3551
péter	5	14826
kál	5	2729
kápolna	5	841
káta	5	25598
kovácsi	5	10477
kövesd	5	19289
megyer	5	7657
mihály	5	6018
nána	5	5866
németi	5	6049
petri	5	4298
szék	5	16180
szög	5	8057
acsa	4	4073
bod	4	3345
bő	4	3383
csány	4	2833
daróc	4	3017
dobsza	4	2150
egres	4	2387
földvár	4	23450
gát	4	4196
halma	4	15717
hartyán	4	6174
jakab	4	1949
keresztes	4	9987
kő	4	3634
kutas	4	2885
lőrinc	4	10241
lövő	4	4367
udvar	4	12104
nyárád	4	3490
nyék	4	5789
oroszi	4	5128
sáp	4	13603
sárd	4	1878
erzsébet	4	1344
pál	4	2062
tamási	4	2147
tarcsa	4	20357
kert	4	15321
varsány	4	11689
víz	4	7783
agárd	3	2406
aszó	3	3352
bajom	3	6431
bér	3	6543
berek	3	3249
berki	3	1716
besenyő	3	4811
boz	3	5979
dorog	3	12357
egerszeg	3	58409
énfa	3	801
fehértó	3	17737
fok	3	25672
fürdő	3	6843
horváti	3	2403
tarján	3	39727
györk	3	6174
harsány	3	2625
kércs	3	1516
komárom	3	3391
kürt	3	2192
lőd	3	3645
meggyes	3	3316
mellék	3	2609
monostor	3	5916
némedi	3	7008
pályi	3	11434
peterd	3	1662
püspöki	3	4532
rákos	3	2730
sámson	3	17360
sárkány	3	3833
surány	3	2761
szabadi	3	6076
szalók	3	7070
tomaj	3	6529
szemere	3	4727
szend	3	2945
imre	3	3875
kereszt	3	5951
város	3	80886
vámos	3	5849
ábrány	2	5561
acsád	2	4454
adony	2	8679
ágota	2	4166
alpár	2	5057
aranyos	2	2146
atád	2	11444
zsadány	2	1552
bajcs	2	1902
baksa	2	936
bánhegyes	2	3525
bárkány	2	829
barok	2	1251
bátor	2	12463
battyán	2	4822
becs	2	2038
bél	2	1544
bénye	2	2707
bercel	2	6250
berecki	2	1039
bodony	2	603
bogát	2	3341
bogdány	2	6197
boglár	2	6801
bödöge	2	1181
böszörmény	2	33089
budmér	2	287
bük	2	982
csaba	2	68245
család	2	588
csanád	2	4447
csécs	2	1009
csepely	2	607
csicsó	2	424
debrő	2	1690
déd	2	2796
dér	2	730
derzs	2	1783
dobos	2	3889
domb	2	1934
dombó	2	1367
doroszló	2	1999
ederics	2	1210
endréd	2	1998
fajsz	2	797
füred	2	25278
gagy	2	332
géc	2	966
gerge	2	1253
görbő	2	340
gyán	2	2569
győ	2	6632
győr	2	2046
györök	2	2606
hajmás	2	565
haláp	2	1646
halász	2	8423
hany	2	1743
haraszt	2	3014
haraszti	2	22654
hatvan	2	1786
henye	2	564
hertelend	2	722
hetény	2	3718
híd	2	873
hódos	2	244
hollós	2	817
homok	2	1292
igmánd	2	3405
istvánd	2	1352
ivánka	2	1345
jád	2	1993
jákó	2	1588
kálla	2	478
kálló	2	10726
kamarás	2	2249
kenéz	2	2316
kesző	2	662
kígyós	2	7803
kinizs	2	699
komlós	2	6210
kónyi	2	2037
koppány	2	610
korpád	2	1503
kozár	2	2822
kölked	2	445
kőrös	2	38174
ládony	2	469
lengyel	2	2226
léta	2	2942
magyaród	2	1058
mányok	2	2650
maros	2	7299
mecske	2	722
miske	2	792
mizdó	2	218
mocsolád	2	712
monostora	2	2659
nádasd	2	4715
namény	2	9444
nép	2	185
terenye	2	14314
patak	2	14142
oszlop	2	1465
óvár	2	51190
öcske	2	332
páhok	2	2143
palád	2	2250
páli	2	812
palkonya	2	1744
palota	2	23385
papi	2	1855
patona	2	3755
paty	2	1877
péc	2	2196
pércs	2	10413
petény	2	1188
pilis	2	1650
pirit	2	344
polány	2	2117
pölöske	2	832
szer	2	3593
radvány	2	565
rajk	2	1076
récse	2	1312
regmec	2	551
udvari	2	3369
rév	2	998
rozvágy	2	900
sár	2	8223
sas	2	1765
semjén	2	4040
senye	2	915
simonyi	2	1079
szabar	2	1177
szabolcs	2	6791
szakál	2	1465
szalka	2	17984
szalonta	2	957
szecsőd	2	858
szekcső	2	3423
székely	2	744
szekeres	2	1135
szele	2	7096
szemes	2	2244
balázs	2	1127
istván	2	2917
széplak	2	1621
szilas	2	3193
szolnok	2	1975
szovát	2	4465
szölnök	2	926
tálya	2	3634
tárkány	2	5193
telekes	2	894
teszér	2	1895
tetétlen	2	1362
tevel	2	1410
told	2	360
tóti	2	3554
töttös	2	610
vadász	2	2144
várad	2	5583
varasd	2	576
várkony	2	1975
vári	2	15282
vázsony	2	3230
vecse	2	4031
vejke	2	582
viszló	2	961
zar	2	1883
zombor	2	6354
zsidány	2	912
zsolca	2	12697
