NAME	ending	population
Budapest 01	other	26228
Budapest 02	other	87793
Budapest 03	other	126539
Budapest 04	other	98291
Budapest 05	other	25877
Budapest 06	other	37122
Budapest 07	other	52479
Budapest 08	other	71756
Budapest 09	other	54576
Budapest 10	other	73831
Budapest 11	other	132543
Budapest 12	other	58109
Budapest 13	other	114582
Budapest 14	other	114862
Budapest 15	other	79602
Budapest 16	other	73239
Budapest 17	other	88250
Budapest 18	other	100719
Budapest 19	other	59283
Budapest 20	other	65002
Budapest 21	other	75045
Budapest 22	other	54958
Budapest 23	other	22365
Ágasegyháza	háza	1960
Akasztó	tó	3344
Apostag	other	2080
Bácsborsód	other	1178
Bácsszentgyörgy	györgy	159
Bácsszőlős	szőlős	351
Ballószög	other	3698
Balotaszállás	szállás	1601
Bátmonostor	other	1576
Bátya	other	2105
Bócsa	other	1917
Borota	other	1303
Bugacpusztaháza	háza	266
Császártöltés	other	2326
Csátalja	other	1511
Csávoly	other	1842
Csengőd	other	2153
Csikéria	other	829
Csólyospálos	other	1624
Dávod	other	2100
Drágszél	other	347
Dunaegyháza	háza	1459
Dunafalva	falva	921
Dunaszentbenedek	other	816
Dunatetétlen	other	564
Dusnok	other	2997
Érsekcsanád	other	2942
Érsekhalma	other	605
Fajsz	other	1711
Felsőlajos	other	940
Felsőszentiván	other	1861
Foktő	other	1565
Fülöpháza	háza	927
Fülöpjakab	other	1139
Fülöpszállás	szállás	2367
Gara	other	2277
Gátér	other	930
Géderlak	lak	1002
Harkakötöny	other	860
Helvécia	other	4814
Hercegszántó	tó	1993
Homokmégy	other	1329
Imrehegy	other	686
Jakabszállás	szállás	2711
Jászszentlászló	other	2505
Kaskantyú	other	1000
Katymár	other	1909
Kelebia	other	2629
Kéleshalom	halom	456
Kisszállás	szállás	2472
Kömpöc	other	696
Kunadacs	other	1509
Kunbaja	other	1559
Kunbaracs	other	644
Kunfehértó	tó	2193
Kunpeszér	other	730
Kunszállás	szállás	1705
Ladánybene	other	1722
Madaras	other	2858
Mátételke	other	517
Miske	other	1769
Móricgát	other	471
Nagybaracska	other	2354
Nemesnádudvar	other	1860
Nyárlőrinc	other	2338
Ordas	other	443
Orgovány	other	3476
Öregcsertő	other	803
Páhi	other	1196
Pálmonostora	other	1888
Petőfiszállás	szállás	1565
Pirtó	tó	970
Rém	other	1298
Soltszentimre	other	1298
Szakmár	other	1243
Szalkszentmárton	márton	2808
Szank	other	2454
Szentkirály	other	1942
Szeremle	other	1428
Tabdi	other	1076
Tass	other	2962
Tataháza	háza	1191
Tázlár	other	1742
Tiszaug	other	938
Újsolt	other	199
Újtelek	telek	379
Uszód	other	969
Városföld	other	2311
Vaskút	kút	3489
Zsana	other	774
Abaliget	other	694
Adorjás	other	211
Ág	other	191
Almamellék	other	442
Almáskeresztúr	túr	85
Alsómocsolád	other	317
Alsószentmárton	márton	1287
Apátvarasd	other	139
Aranyosgadány	other	381
Áta	other	201
Babarc	other	722
Babarcszőlős	szőlős	107
Bakóca	other	311
Bakonya	other	392
Baksa	other	809
Bánfa	fa	203
Bár	other	546
Baranyahídvég	other	203
Baranyajenő	other	470
Baranyaszentgyörgy	györgy	145
Basal	other	210
Belvárdgyula	other	437
Berkesd	other	909
Besence	other	118
Bezedek	other	236
Bicsérd	other	1068
Bikal	other	734
Birján	other	526
Bisse	other	232
Boda	other	441
Bodolyabér	other	233
Bogád	other	1119
Bogádmindszent	other	443
Bogdása	other	263
Boldogasszonyfa	fa	433
Borjád	other	430
Bosta	other	151
Botykapeterd	other	355
Bükkösd	other	1126
Bürüs	other	88
Csányoszró	other	645
Csarnóta	other	148
Csebény	other	97
Cserdi	other	404
Cserkút	kút	629
Csertő	other	409
Csonkamindszent	other	176
Cún	other	233
